date, pm25, pm10, o3, no2, co
2019/8/31, 25, 22, 34, 14, 31
2019/9/1, 24, 22, 32, 14, 29
2019/9/2, 24, 27, 33, 15, 29
2019/9/3, 30, 31, 31, 17, 30
2019/9/4, 34, 22, 35, 19, 34
2019/9/5, 23, 27, 33, 24, 33
2019/9/6, 27, 25, 35, 26, 51
2019/9/7, 21, 39, 37, 17, 47
2019/9/8, 26, 23, 32, 19, 31
2019/9/9, 18, 23, 33, 19, 31
2019/9/10, 18, 30, 33, 20, 39
2019/9/11, 22, 49, 30, 17, 42
2019/9/12, 33, 44, 31, 17, 30
2019/9/13, 33, 31, 34, 16, 32
2019/9/14, 22, 53, 39, 15, 32
2019/9/15, 32, 29, 37, 18, 33
2019/9/16, 18, 39, 32, 17, 31
2019/9/17, 24, 48, 43, 16, 31
2019/9/18, 29, 48, 45, 25, 31
2019/9/19, 29, 57, 34, 23, 30
2019/9/20, 35, 83, 37, 29, 29
2019/9/21, 52, 58, 36, 31, 30
2019/9/22, 51, 45, 36, 24, 32
2019/9/23, 45, 48, 37, 27, 29
2019/9/24, 49, 49, 37, 28, 47
2019/9/25, 49, 44, 37, 33, 35
2019/9/26, 45, 40, 29, 36, 33
2019/9/27, 41, 17, 25, 27, 33
2019/9/28, 22, 25, 26, 17, 33
2019/9/29, 28, 27, 24, 14, 32
2019/9/30, 29, 30, 26, 15, 31
2019/4/1, 72, 67, 56, 41, 68
2019/4/2, 68, 65, 67, 42, 72
2019/4/3, 66, 75, 69, 46, 79
2019/4/4, 75, 76, 59, 43, 49
2019/4/5, 76, 69, 58, 39, 48
2019/4/6, 69, 65, 63, 38, 63
2019/4/7, 66, 59, 69, 37, 56
2019/4/8, 60, 65, 88, 39, 53
2019/4/9, 65, 63, 71, 38, 57
2019/4/10, 64, 65, 70, 39, 61
2019/4/11, 65, 65, 77, 40, 66
2019/4/12, 66, 72, 64, 42, 52
2019/4/13, 73, 63, 83, 50, 54
2019/4/14, 61, 45, 68, 51, 73
2019/4/15, 47, 51, 81, 48, 65
2019/4/16, 53, 56, 53, 41, 44
2019/4/17, 57, 56, 65, 39, 39
2019/4/18, 57, 62, 65, 42, 49
2019/4/19, 63, 65, 66, 42, 56
2019/4/20, 65, 64, 58, 40, 45
2019/4/21, 64, 51, 58, 37, 46
2019/4/22, 53, 44, 61, 41, 42
2019/4/23, 46, 38, 62, 40, 43
2019/4/24, 41, 56, 73, 37, 46
2019/4/25, 58, 98, 64, 37, 56
2019/4/26, 96, 92, 57, 38, 52
2019/4/27, 91, 76, 69, 35, 51
2019/4/28, 75, 72, 68, 32, 50
2019/4/29, 72, 66, 57, 31, 41
2019/4/30, 66, 71, 49, 33, 44
2019/5/1, 71, 64, 54, 30, 30
2019/5/2, 65, 71, 50, 28, 30
2019/5/3, 71, 79, 44, 27, 30
2019/5/4, 79, 63, 56, 26, 32
2019/5/5, 64, 51, 59, 27, 32
2019/5/6, 52, 58, 63, 29, 32
2019/5/7, 59, 51, 77, 26, 32
2019/5/8, 52, 39, 54, 24, 32
2019/5/9, 42, 32, 56, 25, 32
2019/5/10, 35, 32, 51, 26, 31
2019/5/11, 35, 20, 74, 27, 31
2019/5/12, 24, 18, 56, 27, 32
2019/5/13, 22, 18, 57, 27, 30
2019/5/14, 23, 19, 59, 30, 30
2019/5/15, 23, 20, 61, 27, 30
2019/5/16, 24, 24, 56, 28, 32
2019/5/17, 28, 32, 46, 28, 32
2019/5/18, 32, 46, 48, 28, 32
2019/5/19, 30, 39, 56, 28, 32
2019/5/20, 25, 34, 69, 28, 32
2019/5/21, 22, 39, 67, 26, 35
2019/5/22, 25, 41, 66, 27, 32
2019/5/23, 26, 36, 75, 25, 32
2019/5/24, 24, 43, 120, 26, 31
2019/5/25, 27, 30, 64, 26, 30
2019/5/26, 20, 23, 67, 24, 32
2019/5/27, 17, 40, 92, 25, 32
2019/5/28, 25, 115, 60, 24, 32
2019/5/29, 66, 111, 67, 25, 32
2019/5/30, 63, 100, 64, 27, 32
2019/5/31, 55, 89, 49, 27, 31
2019/6/1, 49, 84, 39, 28, 31
2019/6/2, 46, 84, 39, 29, 31
2019/6/3, 46, 84, 39, 29, 31
2019/6/4, 46, 89, 39, 29, 31
2019/6/5, 49, 89, 39, 29, 31
2019/6/6, 49, 89, 51, 29, 31
2019/6/7, 49, 89, 61, 30, 32
2019/6/8, 49, 89, 61, 32, 32
2019/6/9, 49, 89, 111, 29, 34
2019/6/10, 49, 44, 54, 34, 35
2019/6/11, 28, 44, 37, 32, 36
2019/6/12, 28, 27, 38, 31, 34
2019/6/13, 19, 28, 39, 30, 35
2019/6/14, 20, 68, 36, 27, 38
2019/6/15, 42, 57, 69, 27, 34
2019/6/16, 34, 66, 42, 28, 33
2019/6/17, 38, 52, 53, 28, 35
2019/6/18, 31, 45, 61, 28, 34
