date, pm25, pm10, o3, no2, so2, co
2019/12/1, 219, 111, 38, 34, 9, 6
2019/12/2, 157, 163, 55, 30, 10, 6
2019/12/3, 181, , , , , 
2019/12/5, 179, 97, 27, 28, 10, 8
2019/12/6, 128, 131, 42, 35, 11, 9
2019/12/7, 165, 214, 30, 36, 15, 7
2019/12/8, 172, 127, 43, 28, 9, 7
2019/12/9, 163, 126, 40, 43, 8, 5
2019/12/10, 164, 137, 42, 36, 7, 6
2019/12/11, 171, 130, 38, 29, 7, 6
2019/12/12, 169, 171, 39, 24, 9, 7
2019/12/13, 188, 211, 40, 30, 10, 7
2019/12/14, 205, 129, 38, 18, 6, 5
2019/12/15, 171, 122, 16, 19, 10, 3
2019/12/16, 166, 111, 27, 29, 8, 4
2019/12/17, 160, 117, 36, 22, 8, 4
2019/12/18, 157, 193, 41, 29, 11, 4
2019/12/19, 163, 240, 31, 39, 9, 8
2019/12/20, 180, 258, 30, 31, 7, 8
2019/12/21, 226, 274, 25, 35, 4, 9
2019/12/22, 226, 217, 41, 27, 5, 8
2019/12/23, 213, 276, 36, 31, 10, 11
2019/12/24, 227, 264, 38, 35, 10, 14
2019/12/25, 212, 166, 22, 25, 9, 6
2019/12/26, 189, 121, 30, 24, 10, 6
2019/12/27, 167, , , , , 
2019/12/29, 174, , , , , 
2019/7/1, 85, 38, 13, 6, 1, 1
2019/7/2, 79, 50, 26, 13, 2, 2
2019/7/3, 90, 71, 19, 16, 4, 3
2019/7/4, 130, 56, 12, 9, 3, 2
2019/7/5, 99, 60, 11, 19, 3, 3
2019/7/6, 117, 54, 12, 13, 3, 2
2019/7/7, 91, 68, 12, 16, 3, 2
2019/7/8, 114, 67, 14, 17, 3, 2
2019/7/9, 112, 66, 12, 19, 2, 2
2019/7/10, 109, 68, 10, 19, 2, 2
2019/7/11, 119, 68, 14, 19, 4, 2
2019/7/12, 122, 79, 21, 17, 2, 2
2019/7/13, 135, 80, 28, 16, 3, 2
2019/7/14, 139, 93, 24, 21, 5, 2
2019/7/15, 151, 85, 22, 22, 4, 2
2019/7/16, 146, 87, 19, 19, 3, 3
2019/7/17, 156, 75, 12, 12, 1, 1
2019/7/18, 142, 36, 11, 7, 1, 1
2019/7/19, 67, 53, 13, 9, 1, 1
2019/7/20, 90, 58, 19, 11, 2, 1
2019/7/21, 111, 61, 13, 11, 1, 1
2019/7/22, 91, 52, 13, 11, 2, 1
2019/7/23, 80, 51, 15, 13, 2, 1
2019/7/24, 76, 69, 26, 23, 5, 3
2019/7/25, 130, 59, 15, 18, 2, 2
2019/7/26, 128, 44, 15, 14, 1, 2
2019/7/27, 91, 25, 10, 6, 1, 1
2019/7/28, 54, 24, 12, 7, 1, 1
2019/7/29, 49, 50, 12, 14, , 2
2019/7/30, 87, 62, 15, 18, , 2
2019/7/31, 99, 57, 20, 15, 1, 1
2019/8/1, 96, 39, 11, 10, , 1
2019/8/2, 70, 43, 5, 16, , 2
2019/8/3, 92, 67, 13, 21, , 3
2019/8/4, 134, 64, 12, 15, , 3
2019/8/5, 116, 50, 8, 14, 1, 2
2019/8/6, 96, 19, 12, 6, 1, 1
2019/8/7, 41, 22, 10, 10, 1, 1
2019/8/8, 50, 66, 14, 17, 24, 3
2019/8/9, 100, 92, 17, 24, 11, 4
2019/8/10, 151, 87, 16, 23, 8, 4
2019/8/11, 148, 62, 8, 12, 8, 3
2019/8/12, 127, 38, 11, 10, 8, 2
2019/8/13, 68, 70, 14, 14, 8, 2
2019/8/14, 110, 49, 12, 13, 8, 2
2019/8/15, 101, , , , , 
2019/8/20, 166, 64, 7, 10, 2, 1
2019/8/21, 125, 63, 8, 10, 2, 2
2019/8/22, 130, 42, 6, 10, 3, 2
2019/8/23, 80, 37, 4, 7, 2, 2
2019/8/24, 72, 30, 9, 5, 3, 1
2019/8/25, 68, 29, 11, 6, 2, 1
2019/8/26, 58, 34, 11, 8, 3, 2
2019/8/27, 76, 50, 10, 10, 3, 2
2019/8/28, 102, 31, 8, 7, 2, 2
2019/8/29, 66, 45, 8, 7, 3, 2
2019/8/30, 88, 44, 9, 6, 2, 2
2019/8/31, 88, 56, 13, 8, 2, 2
2019/9/1, 106, 35, 8, 6, 2, 2
2019/9/2, 60, 26, 7, 6, 3, 2
2019/9/3, 51, 28, 8, 5, 3, 1
2019/9/4, 57, 27, 9, 4, 3, 1
2019/9/5, 60, 26, 10, 4, 4, 1
2019/9/6, 53, 26, 9, 4, 2, 2
2019/9/7, 61, 30, 8, 6, 2, 2
2019/9/8, 65, 47, 15, 9, 2, 2
2019/9/9, 91, 59, 13, 10, 2, 2
2019/9/10, 103, 53, 9, 11, 2, 3
2019/9/14, 120, 66, 30, 11, 5, 2
2019/9/15, 108, 61, 16, 9, 3, 2
2019/9/16, 97, 48, 9, 5, 2, 1
2019/9/17, 80, 31, 11, 4, 2, 2
2019/9/18, 61, 34, 10, 6, 2, 2
2019/9/19, 65, 60, 22, 13, 5, 3
2019/9/20, 103, 62, 18, 15, 6, 3
2019/9/21, 109, 51, 22, 10, 3, 3
2019/9/22, 100, 39, 18, 6, 2, 2
2019/9/23, 68, 20, 9, 4, 2, 1
2019/9/24, 41, 40, 6, 10, 3, 4
2019/9/25, 77, 47, 13, 10, 3, 3
2019/9/26, 90, 52, 19, 14, 4, 3
2019/9/27, 103, 46, 12, 11, 4, 3
2019/9/28, 90, 34, 14, 9, 2, 2
2019/9/29, 76, 45, 18, 14, 6, 3
2019/9/30, 83, 71, 25, 15, 8, 4
2019/4/1, 97, 79, 17, 21, , 4
2019/4/2, 150, 80, 16, 13, , 2
2019/4/3, 140, 75, 12, 14, 1, 2
2019/4/4, 134, 74, 15, 14, , 2
2019/4/5, 135, 73, 22, 27, 3, 3
2019/4/6, 131, 58, 33, 21, 2, 3
2019/4/7, 111, 66, 29, 24, 3, 2
2019/4/8, 124, 67, 16, 22, 3, 2
2019/4/9, 125, 59, 14, 24, 1, 2
2019/4/10, 112, 64, 17, 14, 1, 2
2019/4/11, 121, 62, 17, 15, 2, 2
2019/4/12, 118, 68, 22, 14, 3, 2
2019/4/13, 122, 62, 22, 12, 3, 2
2019/4/14, 118, 67, 19, 12, 2, 2
2019/4/15, 127, 82, 18, 9, 2, 2
2019/4/16, 135, 89, 22, 12, 3, 3
2019/4/17, 153, 125, 31, 18, 8, 4
2019/4/18, 167, 107, 24, 21, 7, 5
2019/4/19, 167, 85, 33, 16, 8, 3
2019/4/20, 156, 72, 23, 10, 2, 2
2019/4/21, 141, 77, 27, 14, 3, 3
2019/4/22, 145, 70, 31, 15, 3, 3
2019/4/23, 131, 68, 15, 14, 2, 2
2019/4/24, 128, 63, 11, 14, 1, 2
2019/4/25, 115, 74, 13, 12, 1, 2
2019/4/26, 129, 85, 11, 12, 1, 3
2019/4/27, 155, 73, 12, 9, 1, 2
2019/4/28, 131, 119, 10, 8, 1, 1
2019/4/29, 98, 177, 5, 8, 1, 1
2019/4/30, 89, , , , , 
2019/5/14, 117, 80, 12, 14, 1, 2
2019/5/15, 128, 81, 20, 14, 1, 2
2019/5/16, 136, 86, 19, 12, 1, 2
2019/5/17, 148, 88, 14, 8, 1, 2
2019/5/18, 148, 86, 16, 8, 2, 2
2019/5/19, 146, 83, 10, 9, 2, 2
2019/5/20, 129, 79, 9, 9, 1, 2
2019/5/21, 124, 84, 8, 8, 2, 2
2019/5/22, 122, 70, 9, 6, 1, 2
2019/5/23, 99, 76, 10, 11, 1, 2
2019/5/24, 109, 67, 10, 12, 1, 2
2019/5/25, 105, 70, 14, 15, 1, 2
2019/5/26, 114, 84, 13, 10, 1, 2
2019/5/27, 143, 81, 12, 9, 1, 2
2019/5/28, 132, 79, 15, 8, 1, 2
2019/5/29, 136, 73, 12, 8, 1, 2
2019/5/30, 112, 71, 9, 6, 1, 1
2019/5/31, 101, 74, 13, 11, 1, 2
2019/6/1, 119, 63, 11, 10, 1, 1
2019/6/2, 98, 70, 32, 18, 2, 2
2019/6/3, 120, 76, 11, 13, 1, 2
