date, pm25, pm10, o3, no2, so2, co
2019/12/12, 388, 87, 7, 8, 1, 8
2019/12/13, 179, 101, 9, 8, 1, 7
2019/12/14, 174, 102, 8, 6, 1, 6
2019/12/15, 188, 87, 4, 4, 1, 6
2019/12/16, 174, 100, 6, 4, 1, 8
2019/12/17, 193, 148, 12, 7, 1, 9
2019/12/18, 239, 362, 7, 16, 1, 18
2019/12/19, 391, 361, 6, 12, 1, 16
2019/12/20, 399, 194, 3, 7, 1, 9
2019/12/21, 296, 119, 5, 5, 1, 8
2019/12/22, 216, 142, 5, 5, 1, 11
2019/12/23, 239, 271, 6, 10, 1, 13
2019/12/24, 336, 154, 4, 5, 1, 8
2019/12/25, 226, 179, 7, 6, 1, 7
2019/12/26, 257, 292, 20, 10, 1, 10
2019/12/27, 332, 297, 16, 9, 1, 14
2019/12/28, 326, 338, 12, 11, 1, 14
2019/12/29, 360, , , , , 
2019/7/1, 132, 156, 24, 3, 2, 7
2019/7/2, 153, 82, 22, 7, 2, 8
2019/7/3, 111, 58, 7, 6, 1, 9
2019/7/4, 95, 78, 5, 7, 1, 6
2019/7/5, 136, 103, 20, 7, 1, 6
2019/7/6, 214, 64, 7, 4, 1, 9
2019/7/7, 107, 93, 6, 7, 1, 11
2019/7/8, 125, 86, 7, 7, 1, 10
2019/7/9, 112, 217, 7, 7, 1, 14
2019/7/10, 141, 295, 7, 6, 1, 16
2019/7/11, 154, 329, 5, 5, 1, 15
2019/7/12, 150, 201, 11, 5, 1, 13
2019/7/13, 131, 195, 12, 5, 1, 12
2019/7/14, 145, 82, 9, 5, 1, 14
2019/7/15, 88, 53, 14, 5, 1, 13
2019/7/16, 79, 47, 14, 6, 1, 13
2019/7/17, 85, 58, 19, 11, 1, 19
2019/7/18, 87, 103, 46, 12, 2, 18
2019/7/19, 146, 85, 11, 11, 1, 6
2019/7/20, 123, 74, 20, 11, 1, 11
2019/7/21, 112, 99, 20, 10, 1, 14
2019/7/22, 158, 102, 17, 9, 1, 12
2019/7/23, 155, 108, 9, 12, 1, 11
2019/7/24, 129, 43, 6, 6, 1, 6
2019/7/25, 57, 52, 13, 7, 1, 7
2019/7/26, 92, 42, 16, 6, 1, 7
2019/7/27, 83, 46, 30, 6, 1, 6
2019/7/28, 78, 54, 15, 6, 1, 6
2019/7/29, 82, 65, 8, 6, 1, 6
2019/7/30, 99, 63, 13, 6, 1, 7
2019/7/31, 100, 65, 13, 8, 1, 7
2019/8/1, 105, 57, 19, 8, 1, 7
2019/8/2, 87, 66, 9, 7, 1, 7
2019/8/3, 121, 74, 8, 7, 1, 8
2019/8/4, 142, 89, 14, 11, 1, 13
2019/8/5, 151, 52, 7, 10, 1, 10
2019/8/6, 101, 52, 14, 6, 1, 9
