year,state,so2,no2,pm2_5,AQI
2009.0,Delhi,6.4868544600938955,51.45899843505478,,320.1107198748044
2009.0,Gujarat,16.128461538461508,23.945109890109837,,146.26998626373626
2009.0,Haryana,12.694117647058825,27.29117647058823,,214.79044117647058
2009.0,Kerala,6.66213070725157,19.627394807520144,,66.27864816472695
2009.0,Maharashtra,15.884233835252454,31.021110126956025,,163.21497638027753
2009.0,Tamil Nadu,11.544183564567767,21.34407684098184,,115.13278192817502
2009.0,West Bengal,12.318837459634025,65.95231431646943,,252.69994617868676
2010.0,Gujarat,15.479081632653061,23.016326530612243,,92.3501275510204
2010.0,Haryana,14.634408602150538,23.672043010752688,,135.68817204301075
2010.0,Kerala,4.336634891816161,13.54105480622471,,47.88400772691788
2010.0,Maharashtra,17.345512700402033,30.637214275810962,,162.2835658405371
2010.0,Tamil Nadu,9.149736472715928,19.398444359240397,,107.32600099732005
2010.0,West Bengal,9.691268719977371,64.59019497033078,,208.2968706027408
2011.0,Delhi,5.342579750346741,58.63106796116505,,190.91920943134537
2011.0,Gujarat,14.943669250645994,25.14470284237726,,94.32235142118863
2011.0,Haryana,13.703872437357631,27.801822323462414,,123.84681093394077
2011.0,Kerala,4.228168454509337,14.046364719904627,,47.50685339690107
2011.0,Maharashtra,17.409548139869074,33.660226728404915,,119.5508941401884
2011.0,Tamil Nadu,10.329228775113416,22.270576798444587,,79.94709980557356
2011.0,West Bengal,17.134927412467977,56.92997438087105,,151.17001138627953
2012.0,Delhi,7.444444444444445,81.68402777777777,,229.80989583333334
2012.0,Gujarat,15.258530183727034,26.37270341207349,,99.5057939632546
2012.0,Haryana,9.711340206185566,27.859106529209622,,126.7952749140893
2012.0,Kerala,3.951666094125734,12.104190999656463,,47.264084507042256
2012.0,Maharashtra,16.806123908999858,33.09486335670339,,114.21762412362283
2012.0,Tamil Nadu,10.489832535885167,20.62998803827751,,75.01116327751197
2012.0,West Bengal,41.41406727828746,54.67385321100918,,173.30881116207954
2013.0,Delhi,4.487084870848708,89.73431734317343,,231.8819188191882
2013.0,Gujarat,12.744554455445545,18.736039603960386,,54.07714521452145
2013.0,Haryana,12.168141592920353,25.920353982300885,,142.92477876106196
2013.0,Kerala,3.8589925373134344,11.36108208955222,,46.611660447761196
2013.0,Maharashtra,16.62147489066506,31.850701251696577,,110.63341376397226
2013.0,Tamil Nadu,11.8375,21.690086206896552,,77.73060344827586
2013.0,West Bengal,10.454104134762634,63.81120980091884,,171.6087672281776
2014.0,Delhi,5.157821229050279,63.89385474860335,,194.8711592178771
2014.0,Gujarat,14.255570275079487,20.130897047676,30.466313398940198,86.48667991442842
2014.0,Haryana,13.110619469026549,24.349557522123895,,136.01769911504425
2014.0,Kerala,4.168224299065421,12.575682961894323,,46.41161185032351
2014.0,Maharashtra,18.151770394634223,35.76571517703946,,120.33688192169708
2014.0,Tamil Nadu,11.492804492804494,22.13232713232713,,73.22349947349947
2014.0,West Bengal,8.071028037383178,57.59626168224299,,139.54065420560747
2015.0,Delhi,5.638850889192886,67.3515731874145,95.36565096952909,200.5642954856361
2015.0,Gujarat,14.369444444444444,20.891666666666666,31.05185185185185,87.56018518518519
2015.0,Haryana,14.272727272727273,64.81818181818181,,151.1590909090909
2015.0,Kerala,3.9335523913837167,14.27747353048558,,45.73694779116466
2015.0,Maharashtra,16.190931149529877,34.94752805580831,,114.34552244464665
2015.0,Tamil Nadu,10.661784287616511,21.301375943186862,29.27201834862385,70.4748113626276
